"N","M","method","run","elapsed_sec"
1000,2,"2-COL-CC",1,0.0390000000000015
1000,2,"2-COL-CC HEAP",1,0.00500000000000256
1000,2,"2-COL-CC",2,0.0479999999999983
1000,2,"2-COL-CC HEAP",2,0.0130000000000017
1000,2,"2-COL-CC",3,0.0370000000000026
1000,2,"2-COL-CC HEAP",3,0.00199999999999889
1000,2,"2-COL-CC",4,0.0360000000000014
1000,2,"2-COL-CC HEAP",4,0.00199999999999889
1000,2,"2-COL-CC",5,0.0360000000000014
1000,2,"2-COL-CC HEAP",5,0.00300000000000011
1000,2,"2-COL-CC",6,0.0359999999999978
1000,2,"2-COL-CC HEAP",6,0.00300000000000011
1000,2,"2-COL-CC",7,0.036999999999999
1000,2,"2-COL-CC HEAP",7,0.00200000000000244
1000,2,"2-COL-CC",8,0.036999999999999
1000,2,"2-COL-CC HEAP",8,0.00199999999999889
1000,2,"2-COL-CC",9,0.0360000000000014
1000,2,"2-COL-CC HEAP",9,0.00300000000000011
1000,2,"2-COL-CC",10,0.0359999999999978
1000,2,"2-COL-CC HEAP",10,0.00300000000000011
2000,2,"2-COL-CC",1,0.161999999999999
2000,2,"2-COL-CC HEAP",1,0.00500000000000256
2000,2,"2-COL-CC",2,0.157000000000004
2000,2,"2-COL-CC HEAP",2,0.00499999999999545
2000,2,"2-COL-CC",3,0.150999999999996
2000,2,"2-COL-CC HEAP",3,0.0069999999999979
2000,2,"2-COL-CC",4,0.152000000000001
2000,2,"2-COL-CC HEAP",4,0.00600000000000023
2000,2,"2-COL-CC",5,0.152000000000001
2000,2,"2-COL-CC HEAP",5,0.00800000000000267
2000,2,"2-COL-CC",6,0.157000000000004
2000,2,"2-COL-CC HEAP",6,0.00799999999999557
2000,2,"2-COL-CC",7,0.153000000000006
2000,2,"2-COL-CC HEAP",7,0.00599999999999312
2000,2,"2-COL-CC",8,0.161999999999999
2000,2,"2-COL-CC HEAP",8,0.00799999999999557
2000,2,"2-COL-CC",9,0.164000000000001
2000,2,"2-COL-CC HEAP",9,0.007000000000005
2000,2,"2-COL-CC",10,0.150999999999996
2000,2,"2-COL-CC HEAP",10,0.00600000000000023
3000,2,"2-COL-CC",1,0.381
3000,2,"2-COL-CC HEAP",1,0.0119999999999933
3000,2,"2-COL-CC",2,0.381999999999998
3000,2,"2-COL-CC HEAP",2,0.0129999999999981
3000,2,"2-COL-CC",3,0.379000000000005
3000,2,"2-COL-CC HEAP",3,0.0129999999999981
3000,2,"2-COL-CC",4,0.375
3000,2,"2-COL-CC HEAP",4,0.0120000000000005
3000,2,"2-COL-CC",5,0.375
3000,2,"2-COL-CC HEAP",5,0.0120000000000005
3000,2,"2-COL-CC",6,0.373999999999995
3000,2,"2-COL-CC HEAP",6,0.0120000000000005
3000,2,"2-COL-CC",7,0.375999999999998
3000,2,"2-COL-CC HEAP",7,0.0120000000000005
3000,2,"2-COL-CC",8,0.372
3000,2,"2-COL-CC HEAP",8,0.0120000000000005
3000,2,"2-COL-CC",9,0.378
3000,2,"2-COL-CC HEAP",9,0.0120000000000005
3000,2,"2-COL-CC",10,0.376000000000005
3000,2,"2-COL-CC HEAP",10,0.0120000000000005
4000,2,"2-COL-CC",1,0.700000000000003
4000,2,"2-COL-CC HEAP",1,0.0210000000000008
4000,2,"2-COL-CC",2,0.704999999999998
4000,2,"2-COL-CC HEAP",2,0.0190000000000055
4000,2,"2-COL-CC",3,0.956000000000003
4000,2,"2-COL-CC HEAP",3,0.0360000000000014
4000,2,"2-COL-CC",4,1.372
4000,2,"2-COL-CC HEAP",4,0.0389999999999944
4000,2,"2-COL-CC",5,0.710999999999999
4000,2,"2-COL-CC HEAP",5,0.0200000000000031
4000,2,"2-COL-CC",6,0.708999999999996
4000,2,"2-COL-CC HEAP",6,0.0200000000000031
4000,2,"2-COL-CC",7,0.698999999999998
4000,2,"2-COL-CC HEAP",7,0.0200000000000031
4000,2,"2-COL-CC",8,0.686
4000,2,"2-COL-CC HEAP",8,0.0200000000000031
4000,2,"2-COL-CC",9,0.686
4000,2,"2-COL-CC HEAP",9,0.0189999999999984
4000,2,"2-COL-CC",10,0.690000000000005
4000,2,"2-COL-CC HEAP",10,0.0200000000000031
5000,2,"2-COL-CC",1,1.114
5000,2,"2-COL-CC HEAP",1,0.0289999999999964
5000,2,"2-COL-CC",2,1.11499999999999
5000,2,"2-COL-CC HEAP",2,0.0300000000000011
5000,2,"2-COL-CC",3,1.101
5000,2,"2-COL-CC HEAP",3,0.0279999999999987
5000,2,"2-COL-CC",4,1.102
5000,2,"2-COL-CC HEAP",4,0.0280000000000058
5000,2,"2-COL-CC",5,1.106
5000,2,"2-COL-CC HEAP",5,0.0309999999999988
5000,2,"2-COL-CC",6,1.119
5000,2,"2-COL-CC HEAP",6,0.0330000000000013
5000,2,"2-COL-CC",7,1.122
5000,2,"2-COL-CC HEAP",7,0.0300000000000011
5000,2,"2-COL-CC",8,1.121
5000,2,"2-COL-CC HEAP",8,0.0300000000000011
5000,2,"2-COL-CC",9,1.117
5000,2,"2-COL-CC HEAP",9,0.0290000000000035
5000,2,"2-COL-CC",10,1.111
5000,2,"2-COL-CC HEAP",10,0.0290000000000035
6000,2,"2-COL-CC",1,1.643
6000,2,"2-COL-CC HEAP",1,0.0409999999999968
6000,2,"2-COL-CC",2,1.64700000000001
6000,2,"2-COL-CC HEAP",2,0.0400000000000063
6000,2,"2-COL-CC",3,1.62599999999999
6000,2,"2-COL-CC HEAP",3,0.0379999999999967
6000,2,"2-COL-CC",4,1.651
6000,2,"2-COL-CC HEAP",4,0.0400000000000063
6000,2,"2-COL-CC",5,1.676
6000,2,"2-COL-CC HEAP",5,0.039999999999992
6000,2,"2-COL-CC",6,1.639
6000,2,"2-COL-CC HEAP",6,0.0409999999999968
6000,2,"2-COL-CC",7,1.658
6000,2,"2-COL-CC HEAP",7,0.0420000000000016
6000,2,"2-COL-CC",8,1.627
6000,2,"2-COL-CC HEAP",8,0.0429999999999922
6000,2,"2-COL-CC",9,1.652
6000,2,"2-COL-CC HEAP",9,0.0409999999999968
6000,2,"2-COL-CC",10,1.681
6000,2,"2-COL-CC HEAP",10,0.0430000000000064
7000,2,"2-COL-CC",1,2.327
7000,2,"2-COL-CC HEAP",1,0.0510000000000019
7000,2,"2-COL-CC",2,2.253
7000,2,"2-COL-CC HEAP",2,0.0510000000000019
7000,2,"2-COL-CC",3,2.324
7000,2,"2-COL-CC HEAP",3,0.054000000000002
7000,2,"2-COL-CC",4,2.301
7000,2,"2-COL-CC HEAP",4,0.054000000000002
7000,2,"2-COL-CC",5,2.297
7000,2,"2-COL-CC HEAP",5,0.0510000000000019
7000,2,"2-COL-CC",6,2.254
7000,2,"2-COL-CC HEAP",6,0.0549999999999926
7000,2,"2-COL-CC",7,2.244
7000,2,"2-COL-CC HEAP",7,0.0570000000000022
7000,2,"2-COL-CC",8,2.251
7000,2,"2-COL-CC HEAP",8,0.054000000000002
7000,2,"2-COL-CC",9,2.28899999999999
7000,2,"2-COL-CC HEAP",9,0.0539999999999878
7000,2,"2-COL-CC",10,2.283
7000,2,"2-COL-CC HEAP",10,0.0529999999999973
8000,2,"2-COL-CC",1,3.01600000000001
8000,2,"2-COL-CC HEAP",1,0.0679999999999978
8000,2,"2-COL-CC",2,2.997
8000,2,"2-COL-CC HEAP",2,0.0669999999999931
8000,2,"2-COL-CC",3,2.996
8000,2,"2-COL-CC HEAP",3,0.0660000000000025
8000,2,"2-COL-CC",4,2.98999999999999
8000,2,"2-COL-CC HEAP",4,0.0649999999999977
8000,2,"2-COL-CC",5,2.98399999999999
8000,2,"2-COL-CC HEAP",5,0.0669999999999931
8000,2,"2-COL-CC",6,3.01100000000001
8000,2,"2-COL-CC HEAP",6,0.0660000000000025
8000,2,"2-COL-CC",7,2.99900000000001
8000,2,"2-COL-CC HEAP",7,0.0680000000000121
8000,2,"2-COL-CC",8,3.00999999999999
8000,2,"2-COL-CC HEAP",8,0.0679999999999836
8000,2,"2-COL-CC",9,3.00900000000001
8000,2,"2-COL-CC HEAP",9,0.0669999999999789
8000,2,"2-COL-CC",10,3.02200000000002
8000,2,"2-COL-CC HEAP",10,0.0689999999999884
9000,2,"2-COL-CC",1,3.87099999999998
9000,2,"2-COL-CC HEAP",1,0.0819999999999936
9000,2,"2-COL-CC",2,3.91
9000,2,"2-COL-CC HEAP",2,0.0840000000000032
9000,2,"2-COL-CC",3,3.83000000000001
9000,2,"2-COL-CC HEAP",3,0.0819999999999936
9000,2,"2-COL-CC",4,3.839
9000,2,"2-COL-CC HEAP",4,0.0829999999999984
9000,2,"2-COL-CC",5,3.83799999999999
9000,2,"2-COL-CC HEAP",5,0.0829999999999984
9000,2,"2-COL-CC",6,3.82999999999998
9000,2,"2-COL-CC HEAP",6,0.0860000000000127
9000,2,"2-COL-CC",7,3.83000000000001
9000,2,"2-COL-CC HEAP",7,0.0859999999999843
9000,2,"2-COL-CC",8,3.82799999999997
9000,2,"2-COL-CC HEAP",8,0.0870000000000175
9000,2,"2-COL-CC",9,3.83500000000001
9000,2,"2-COL-CC HEAP",9,0.0840000000000032
9000,2,"2-COL-CC",10,3.81100000000001
9000,2,"2-COL-CC HEAP",10,0.0829999999999984
10000,2,"2-COL-CC",1,4.78
10000,2,"2-COL-CC HEAP",1,0.102000000000004
10000,2,"2-COL-CC",2,4.803
